task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
arxiv,val,0,0,arxiv:val:000000:2ca62d00a890aa84,0,1502.981195,1502.938232421875,1177.49707,324.968436,187.69156467169523,252.3794872686267,8.068736642599106,614.5353149622679,175.1334400177002,437.39990234375,64,0,1,0,0,0,0,0,0,0,127.32223892211914,5.2055360078811646,38.42259216308594,4.183072924613953,cache_bf16,large_h6_n10_s100_wikics_arxiv,2ca62d00a890aa8464a6da3728825202198bcc513fe666faadd8aa998acdb9f2,138.2202606201172,115.70608025789261,0,459.9140827059746,0,0,0,0
arxiv,val,1,1,arxiv:val:000001:60580fb403549285,0,1203.059058,1203.0340576171875,900.250403,302.51128,139.9848172441125,27.573498897254467,7.607129402458668,647.8817341849208,231.50204467773438,414.77152252197266,62,0,1,0,0,0,0,0,0,0,188.19658088684082,6.700192093849182,31.7456636428833,4.859608054161072,cache_bf16,large_h6_n10_s100_wikics_arxiv,60580fb403549285c13a71ed0dd66a154ba7ca5299783abae7bc3d0ced297729,19.061023712158203,108.97315192222595,0,324.8593943119049,0,0,0,0
arxiv,val,2,2,arxiv:val:000002:0f56629b76181b48,0,1044.515944,1044.491455078125,654.17446,390.079555,70.91793976724148,25.89426189661026,6.758790463209152,482.32347797602415,113.27868843078613,367.60240173339844,55,0,1,0,0,0,0,0,0,0,78.45142459869385,3.873983919620514,27.90947198867798,3.0438079237937927,cache_bf16,large_h6_n10_s100_wikics_arxiv,0f56629b76181b48667d9cbcd2345c35f2620d7bfa2297baabc2f253e5b2d1f9,19.101600646972656,97.62700799107552,0,289.0769943892956,0,0,0,0
arxiv,val,3,3,arxiv:val:000003:f8a271ff72baf265,0,1063.684673,1063.66064453125,706.69576,356.722478,73.17935209721327,25.9078461676836,7.403274066746235,528.7994537502527,133.0451831817627,394.22198486328125,59,0,1,0,0,0,0,0,0,0,94.66048049926758,4.744320034980774,30.022687911987305,3.6176947355270386,cache_bf16,large_h6_n10_s100_wikics_arxiv,f8a271ff72baf265126e8db430172f5bed9c9bc1236ed2c483b676d3b3da5b06,19.11180877685547,104.13135954737663,0,309.2024340927601,0,0,0,0
arxiv,val,4,4,arxiv:val:000004:90c6fb7029699303,0,1001.157165,1001.1334228515625,592.200704,408.691327,62.737757340073586,25.853426195681095,6.320565938949585,436.3818019628525,93.89769554138184,341.13913345336914,51,0,1,0,0,0,0,0,0,0,62.58656024932861,3.0039359629154205,25.832191944122314,2.4750073850154877,cache_bf16,large_h6_n10_s100_wikics_arxiv,90c6fb7029699303f3be39cfbbdd83064a30479ef55c381b7707847af46961e2,19.094751358032227,91.44348818063736,0,268.790396630764,0,0,0,0
arxiv,val,5,5,arxiv:val:000005:b1fb0d955f08ebcc,0,1084.733186,1084.709716796875,689.465242,395.007592,72.12534919381142,25.885973125696182,7.435298524796963,516.2027897313237,120.35958290100098,394.3067932128906,59,0,1,0,0,0,0,0,0,0,83.04422378540039,4.085855960845947,30.008575439453125,3.2209277153015137,cache_bf16,large_h6_n10_s100_wikics_arxiv,b1fb0d955f08ebcc1854a82d690b457a8b352e7b76fe61f26baecc15aca241c2,19.071008682250977,104.06745597720146,0,309.31034591794014,0,0,0,0
arxiv,val,6,6,arxiv:val:000006:df18bd588fa33fe2,0,1040.035857,1040.0126953125,731.81773,307.940613,74.38388932496309,25.865009985864162,7.574041374027729,551.0664330795407,135.54374313354492,413.92704010009766,62,0,1,0,0,0,0,0,0,0,95.39820861816406,4.762751996517181,31.714431285858154,3.6683512330055237,cache_bf16,large_h6_n10_s100_wikics_arxiv,df18bd588fa33fe2de8fe20a19987197c455f73623e4b9fecb2e949daa89b43c,19.080480575561523,109.03465569019318,0,323.972864985466,0,0,0,0
arxiv,val,7,7,arxiv:val:000007:5d8bef236ece6d70,0,1009.795213,1009.77099609375,670.438521,339.088342,65.15361554920673,25.907739996910095,6.608752533793449,502.1726917475462,139.19149017333984,361.5637435913086,54,0,1,0,0,0,0,0,0,0,102.51906967163086,5.248736023902893,27.557568073272705,3.8661164045333862,cache_bf16,large_h6_n10_s100_wikics_arxiv,5d8bef236ece6d70ca2faa9c61718eeb618fd2f06ab8ea1c9a211c1ffba39d87,19.11520004272461,96.49763205647469,0,284.1813115775585,0,0,0,0
arxiv,val,8,8,arxiv:val:000008:50c056e8e13586b5,0,971.060278,971.0365600585938,667.108989,303.686612,66.30932539701462,25.816842913627625,6.723534315824509,505.1125232130289,135.78294372558594,367.89305877685547,55,0,1,0,0,0,0,0,0,0,99.09504127502441,5.012672007083893,27.929856300354004,3.7453741431236267,cache_bf16,large_h6_n10_s100_wikics_arxiv,50c056e8e13586b5abb1d2ff6e8a110fa32a37fc5f195ac87dde107ad2b022c3,19.02739143371582,97.86358392238617,0,289.0568662881851,0,0,0,0
arxiv,val,9,9,arxiv:val:000009:18155f7c05fbf94e,0,1070.089344,1070.0654296875,764.264504,305.531635,80.5490743368864,27.626623399555683,8.005679585039616,574.2868948727846,145.2947540283203,427.34041595458984,64,0,1,0,0,0,0,0,0,0,103.35011100769043,5.232703924179077,32.78060817718506,3.931330919265747,cache_bf16,large_h6_n10_s100_wikics_arxiv,18155f7c05fbf94e33b3f603b69cecfa80e7cedb50fe2baa74f0d28baa4b0f2b,19.066240310668945,112.21308815479279,0,334.193568110466,0,0,0,0
arxiv,val,10,10,arxiv:val:000010:734b087b8f518269,0,1012.580026,1012.5556030273438,599.129522,413.161896,67.40795075893402,26.15070529282093,6.349959410727024,440.72749838232994,94.03891277313232,345.3231658935547,51,0,1,0,0,0,0,0,0,0,62.67568016052246,3.0023679733276367,25.888192176818848,2.472672462463379,cache_bf16,large_h6_n10_s100_wikics_arxiv,734b087b8f5182690f6917df19e1b75fcc1ab683af3f29e5ab7c61b67b706a93,19.128799438476562,91.34006398916245,0,273.1119013428688,0,0,0,0
arxiv,val,11,11,arxiv:val:000011:218fb05804b34902,0,1005.666181,1005.6414794921875,700.897209,304.491698,79.68794368207455,25.990117341279984,6.857973523437977,514.7762577980757,122.11056137084961,391.22857666015625,55,0,1,0,0,0,0,0,0,0,86.53356838226318,4.322624027729034,27.944479942321777,3.309889018535614,cache_bf16,large_h6_n10_s100_wikics_arxiv,218fb05804b34902580b9c384ae4f6815b6ac7a814598f271d8ec7c8cc9d1e97,19.11257553100586,97.70876795053482,0,312.6323842406273,0,0,0,0
arxiv,val,12,12,arxiv:val:000012:d60fe2ae03f6eac8,0,969.345953,969.3216552734375,578.020147,391.065971,69.78860590606928,26.06414072215557,5.743315443396568,416.4112666621804,100.04060745239258,315.1141777038574,47,0,1,0,0,0,0,0,0,0,69.71260833740234,3.4308159947395325,24.206079959869385,2.691103160381317,cache_bf16,large_h6_n10_s100_wikics_arxiv,d60fe2ae03f6eac84a1f19401647d5cb09163cbf2fc00ebcf0082f9223ce47bb,19.095136642456055,84.77667212486267,0,249.4326422214508,0,0,0,0
arxiv,val,13,13,arxiv:val:000013:268cba3e8bea6bbc,0,1076.7646,1076.7408447265625,767.264491,309.21221,88.01492769271135,26.566479355096817,7.909145206212997,569.8362635448575,141.40656089782715,426.7736282348633,64,0,1,0,0,0,0,0,0,0,99.72876930236816,5.066879987716675,32.80153560638428,3.8093760013580322,cache_bf16,large_h6_n10_s100_wikics_arxiv,268cba3e8bea6bbc958504f9100b127a0e6c38ffb04407559a4f1b8afca109db,19.077760696411133,112.19324818253517,0,333.65814074873924,0,0,0,0
arxiv,val,14,14,arxiv:val:000014:27e07c074f120390,0,649.997204,649.9733276367188,324.420576,325.334676,41.59268084913492,25.828045792877674,3.308793529868126,222.17366006225348,45.173823833465576,176.20675086975098,26,0,1,0,0,0,0,0,0,0,29.39408016204834,1.3751680105924606,13.195200204849243,1.2093754559755325,cache_bf16,large_h6_n10_s100_wikics_arxiv,27e07c074f120390a136a24ac21a396b7ae25d63ea5fab508a8ee0aa47af7f4e,19.055456161499023,51.02544015645981,0,144.2367668747902,0,0,0,0
arxiv,val,15,15,arxiv:val:000015:9024ef9ec454b547,0,1036.909547,1036.885498046875,728.019498,308.627511,74.43530485033989,25.875498540699482,7.549343630671501,545.7256939262152,129.79315376281738,414.3217544555664,62,0,1,0,0,0,0,0,0,0,90.09548664093018,4.45196807384491,31.770015716552734,3.475683331489563,cache_bf16,large_h6_n10_s100_wikics_arxiv,9024ef9ec454b5478893dc819578d8713e5a8398e93d9359ead4ec0b7f1c7d4e,19.092384338378906,108.95046356320381,0,324.4636752307415,0,0,0,0
arxiv,val,16,16,arxiv:val:000016:7e1664ccf8593701,0,787.007264,786.9829711914062,430.475133,356.285203,42.764535173773766,25.8838115260005,4.441224969923496,308.6463315412402,65.35606479644775,242.2770233154297,36,0,1,0,0,0,0,0,0,0,43.02886390686035,2.017184019088745,18.594047784805298,1.7159690856933594,cache_bf16,large_h6_n10_s100_wikics_arxiv,7e1664ccf8593701c6c8c2050a1018d04804245f371bd4eff878cb6153c7af9a,19.086463928222656,66.99862399697304,0,194.3648632466793,0,0,0,0
arxiv,val,17,17,arxiv:val:000017:7ad1ef9d9566a25d,0,1161.34808,1161.323486328125,765.94766,395.130367,77.98940315842628,27.12087146937847,8.214089088141918,577.8252305462956,149.15862464904785,427.0215377807617,64,0,1,0,0,0,0,0,0,0,106.93807792663574,5.361472010612488,32.80012798309326,4.05894672870636,cache_bf16,large_h6_n10_s100_wikics_arxiv,7ad1ef9d9566a25d388509e1100cc3c7f10c255cea9ac15eba4fcc516975eab1,19.04630470275879,112.16595214605331,0,333.9018903374672,0,0,0,0
arxiv,val,18,18,arxiv:val:000018:98b4c6d0d8b5843b,0,1100.865009,1100.8406982421875,761.354026,339.228095,75.95966663211584,25.8337389677763,7.669802755117416,582.4403213337064,157.57116889953613,423.2400894165039,63,0,1,0,0,0,0,0,0,0,114.84703826904297,5.8934720158576965,32.519360065460205,4.3112985491752625,cache_bf16,large_h6_n10_s100_wikics_arxiv,98b4c6d0d8b5843b73ad7e8e529a19b402ae2295c0781a0c0395f6b729379c34,19.08665657043457,110.5437119603157,0,331.7830340266228,0,0,0,0
arxiv,val,19,19,arxiv:val:000019:afbf83efcf3da599,0,1231.656234,1231.630859375,920.901434,310.421801,323.4376171603799,26.556351222097874,7.072865031659603,493.0032780393958,106.50540733337402,384.97065353393555,57,0,1,0,0,0,0,0,0,0,71.04547214508057,3.435263991355896,29.225855827331543,2.798815369606018,cache_bf16,large_h6_n10_s100_wikics_arxiv,afbf83efcf3da5999478e2f7e58fcecc35400cb3c4401303e814154a42eaf103,19.23833656311035,100.93747171759605,0,303.27151837944984,0,0,0,0
arxiv,val,20,20,arxiv:val:000020:dbd405fe94a09147,0,1149.79217,1149.7652587890625,758.815035,390.660517,77.92229391634464,25.976057164371014,7.8640468418598175,572.6556265726686,152.27628707885742,418.7493362426758,63,0,1,0,0,0,0,0,0,0,109.9600944519043,5.619967997074127,32.548415660858154,4.1478089690208435,cache_bf16,large_h6_n10_s100_wikics_arxiv,dbd405fe94a0914761f2690e252ab5f02774d2c32288555d28b65fa98b2eb936,19.125856399536133,110.61497613787651,0,327.2602165043354,0,0,0,0
arxiv,val,21,21,arxiv:val:000021:d051e1dec2fdf8ab,0,1033.17301,1033.1484375,727.78855,305.106282,74.92270320653915,25.81098396331072,7.731769233942032,550.0703193247318,135.94531440734863,412.5253143310547,62,0,1,0,0,0,0,0,0,0,95.64723110198975,4.853343963623047,31.794559478759766,3.650179862976074,cache_bf16,large_h6_n10_s100_wikics_arxiv,d051e1dec2fdf8ab788897adb9e17b8f3543bc60cfef74e047813b2fc343b801,19.042207717895508,108.87372797727585,0,322.69379407167435,0,0,0,0
arxiv,val,22,22,arxiv:val:000022:8f46ddff5f16826d,0,858.087275,858.0628051757812,553.580738,304.247877,54.82489429414272,25.855407118797302,5.9960512444376945,406.33797366172075,85.79868793487549,319.26153564453125,48,0,1,0,0,0,0,0,0,0,56.375553131103516,2.679744005203247,24.49945592880249,2.2439348697662354,cache_bf16,large_h6_n10_s100_wikics_arxiv,8f46ddff5f16826d7791db79b925bf61248b84cafbcd6caeb7ce88994412dfad,19.11078453063965,86.26009619235992,0,252.11222398281097,0,0,0,0
arxiv,val,23,23,arxiv:val:000023:a33ac7ffe04c9ef6,0,901.995825,901.9705810546875,561.897196,339.826749,51.724132150411606,25.832824409008026,5.897311493754387,417.64621436595917,100.06988716125488,316.3205146789551,47,0,1,0,0,0,0,0,0,0,69.73120021820068,3.4213119745254517,24.233887672424316,2.683487296104431,cache_bf16,large_h6_n10_s100_wikics_arxiv,a33ac7ffe04c9ef66300780848af6861185cc9b4b5f9a3975b2bc955cba877f7,19.049888610839844,84.59823995828629,0,250.77216333150864,0,0,0,0
arxiv,val,24,24,arxiv:val:000024:da1c8050639cf918,0,1065.202086,1065.177001953125,687.334469,377.597085,65.83390291780233,26.01506095379591,7.511667907238007,518.0106405168772,122.36284828186035,394.206974029541,55,0,1,0,0,0,0,0,0,0,86.72934436798096,4.322815895080566,27.989439964294434,3.3212480545043945,cache_bf16,large_h6_n10_s100_wikics_arxiv,da1c8050639cf9185a33e7c695e416d7f01209d4bebcd08bd37949a743344866,19.126047134399414,99.12022373080254,0,314.2127974331379,0,0,0,0
