task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
arxiv,val,0,0,arxiv:val:000000:2ca62d00a890aa84,0,4133.399142,4133.21630859375,3804.182265,328.662502,533.7558249011636,413.6752672493458,8.21712240576744,2736.291280016303,148.50847816467285,2585.5910034179688,64,0,1,84,0,1186.7535972595215,294.5405120747164,42.61750394105911,134.76892803050578,40.01843197643757,106.23699378967285,5.2183040380477905,32.881951332092285,4.171229004859924,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,2ca62d00a890aa8464a6da3728825202198bcc513fe666faadd8aa998acdb9f2,149.80160522460938,896.211938560009,1270.259840965271,568.9208291172981,16777216,2224128,2224128,2772
arxiv,val,1,1,arxiv:val:000001:60580fb403549285,0,3708.792194,3708.640869140625,3401.099617,306.888219,537.1281709522009,42.90976841002703,7.892956025898457,2725.5930062383413,173.65456008911133,2550.148223876953,62,0,1,84,0,1192.713282585144,303.361119909212,44.04403199441731,133.45059192180634,39.283903980627656,130.33391952514648,6.6707199811935425,31.813600063323975,4.836320519447327,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,60580fb403549285c13a71ed0dd66a154ba7ca5299783abae7bc3d0ced297729,19.692703247070312,864.9251229465008,1276.2241611480713,428.69164302945137,16252928,2224128,2224128,2688
arxiv,val,2,2,arxiv:val:000002:0f56629b76181b48,0,2771.827606,2771.710693359375,2379.483252,391.970046,262.2040696442127,42.91981551796198,6.976981647312641,1989.7752050310373,113.36271858215332,1874.8073120117188,55,0,1,48,0,675.1041288375854,171.49548825249076,24.610751947388053,75.59670409560204,22.021951969712973,78.52822399139404,3.862879991531372,27.940703868865967,3.0309107303619385,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,0f56629b76181b48667d9cbcd2345c35f2620d7bfa2297baabc2f253e5b2d1f9,19.691232681274414,768.9947834908962,722.6125774383545,402.89118376374245,14417920,1044480,1044480,2394
arxiv,val,3,3,arxiv:val:000003:f8a271ff72baf265,0,3043.468941,3043.344970703125,2685.688638,357.419047,284.6799334511161,42.74631664156914,7.488802075386047,2271.0110871121287,133.01827239990234,2136.2820739746094,59,0,1,60,0,849.2647686004639,221.07648028805852,31.400223962962627,94.6206399872899,27.841119994409382,94.63174343109131,4.72652792930603,30.05734395980835,3.6026570796966553,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,f8a271ff72baf265126e8db430172f5bed9c9bc1236ed2c483b676d3b3da5b06,19.60825538635254,823.1879053711891,908.7194862365723,423.98293775320053,15466496,1437696,1437696,2562
arxiv,val,4,4,arxiv:val:000004:90c6fb7029699303,0,2670.733109,2670.620361328125,2260.591571,409.804084,242.3332640901208,42.69841406494379,6.354298442602158,1899.7420212253928,93.89535999298096,1804.3541564941406,51,0,1,48,0,688.5408973693848,177.4082561917603,24.738975969143212,76.96915198117495,23.13120001088828,62.556447982788086,2.9892799854278564,25.89257574081421,2.4570562839508057,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,90c6fb7029699303f3be39cfbbdd83064a30479ef55c381b7707847af46961e2,19.5546875,714.23913615942,736.290397644043,373.37931019067764,13369344,1044480,1044480,2226
arxiv,val,5,5,arxiv:val:000005:b1fb0d955f08ebcc,0,3080.911711,3080.786865234375,2770.330849,310.218427,300.3310337662697,42.763762176036835,7.3249200358986855,2342.232876457274,120.3834228515625,2220.131805419922,59,0,1,66,0,933.5566082000732,238.82707210350782,34.7888319818303,103.55747201666236,30.55289602186531,83.03881549835205,4.073760032653809,30.072864055633545,3.1979832649230957,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,b1fb0d955f08ebcc1854a82d690b457a8b352e7b76fe61f26baecc15aca241c2,19.619583129882812,823.1760011911392,998.9654731750488,417.60991418361664,15466496,1634304,1634304,2562
arxiv,val,6,6,arxiv:val:000006:df18bd588fa33fe2,0,3583.742706,3583.601318359375,3273.586316,309.797456,298.7462729215622,42.79456194490194,7.798462174832821,2843.7393456697464,135.53286361694336,2706.4114685058594,62,0,1,78,0,1354.7130556106567,288.9453439898789,41.21583996526897,123.37375985085964,36.284608016721904,95.34364795684814,4.7432960867881775,31.800479888916016,3.6454396843910217,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,df18bd588fa33fe2de8fe20a19987197c455f73623e4b9fecb2e949daa89b43c,19.581632614135742,864.1800955235958,1432.3064661026,429.5065394937992,16252928,2001408,2001408,2688
arxiv,val,7,7,arxiv:val:000007:5d8bef236ece6d70,0,2893.767016,2893.64794921875,2553.361018,340.051187,257.3800990357995,42.82394144684076,6.7123593762516975,2168.2590702548623,139.05910301208496,2027.6237182617188,54,0,1,60,0,846.2989435195923,215.1843839501962,30.903551971539855,94.33030406758189,27.679840007796884,102.40697479248047,5.221280097961426,27.600831985473633,3.8300161361694336,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,5d8bef236ece6d70ca2faa9c61718eeb618fd2f06ab8ea1c9a211c1ffba39d87,19.6297607421875,755.5755500793457,905.7485456466675,385.92938327789307,14155776,1437696,1437696,2352
arxiv,val,8,8,arxiv:val:000008:50c056e8e13586b5,0,3126.078223,3125.952880859375,2819.963438,305.78164,262.85248901695013,42.58932080119848,6.719053722918034,2437.9330798983574,135.75580978393555,2300.5650634765625,55,0,1,78,0,1099.3438663482666,278.231552076526,40.71756792347878,123.58870406076312,35.965119978412986,99.03222465515137,4.9916160106658936,28.009408473968506,3.7225606441497803,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,50c056e8e13586b5abb1d2ff6e8a110fa32a37fc5f195ac87dde107ad2b022c3,19.573631286621094,769.1552631258965,1176.6377258300781,374.345705807209,14417920,2027520,2027520,2394
arxiv,val,9,9,arxiv:val:000009:18155f7c05fbf94e,0,3506.823432,3506.685302734375,3165.437481,341.028804,303.62169723957777,42.57332719862461,7.7905794605612755,2728.273303247988,145.18348693847656,2581.263885498047,64,0,1,84,0,1188.511393547058,301.65779189392924,44.98588796984404,132.5118080712855,38.7832960030064,103.21759986877441,5.207744002342224,32.85475206375122,3.9033910036087036,cache_w8a8_m4k2v2,large_h6_n10_s100_wikics_arxiv,18155f7c05fbf94e33b3f603b69cecfa80e7cedb50fe2baa74f0d28baa4b0f2b,19.549951553344727,891.1999360024929,1271.8217630386353,437.79213801026344,16777216,2224128,2224128,2772
