task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
arxiv,val,0,0,arxiv:val:000000:2ca62d00a890aa84,0,1764.578652,1764.5313720703125,1425.939355,338.141224,0.0,0.0,0.0,0.0,195.59177589416504,194.83801651000977,0,0,0,0,0,0,0,0,0,0,131.72294425964355,6.42467200756073,42.27945566177368,15.164703965187073,nocache_bf16,large_h6_n10_s100_wikics_arxiv,2ca62d00a890aa8464a6da3728825202198bcc513fe666faadd8aa998acdb9f2,839.919921875,462.68182373046875,0,572.076114654541,0,0,0,0
arxiv,val,1,1,arxiv:val:000001:60580fb403549285,0,1494.265174,1494.23486328125,1186.754018,307.212009,0.0,0.0,0.0,0.0,213.40652465820312,162.64950561523438,0,0,0,0,0,0,0,0,0,0,154.05839920043945,8.123775959014893,35.0065279006958,16.21782159805298,nocache_bf16,large_h6_n10_s100_wikics_arxiv,60580fb403549285c13a71ed0dd66a154ba7ca5299783abae7bc3d0ced297729,708.8712158203125,418.1064929962158,0,453.41422843933105,0,0,0,0
arxiv,val,2,2,arxiv:val:000002:0f56629b76181b48,0,1403.507237,1403.4783935546875,1008.856927,394.37877,0.0,0.0,0.0,0.0,137.5391674041748,146.60272026062012,0,0,0,0,0,0,0,0,0,0,89.84758281707764,4.630784034729004,30.368736743927002,12.692063808441162,nocache_bf16,large_h6_n10_s100_wikics_arxiv,0f56629b76181b48667d9cbcd2345c35f2620d7bfa2297baabc2f253e5b2d1f9,631.8572998046875,373.1388168334961,0,405.3212032318115,0,0,0,0
arxiv,val,3,3,arxiv:val:000003:f8a271ff72baf265,0,1451.475613,1451.4466552734375,1091.601693,359.611193,0.0,0.0,0.0,0.0,161.83011054992676,156.46531295776367,0,0,0,0,0,0,0,0,0,0,109.42150688171387,5.613215982913971,32.639999866485596,14.155387818813324,nocache_bf16,large_h6_n10_s100_wikics_arxiv,f8a271ff72baf265126e8db430172f5bed9c9bc1236ed2c483b676d3b3da5b06,673.68408203125,397.5354232788086,0,432.6139717102051,0,0,0,0
arxiv,val,4,4,arxiv:val:000004:90c6fb7029699303,0,1331.549813,1331.5155029296875,918.693896,412.592723,0.0,0.0,0.0,0.0,113.56857299804688,134.79599952697754,0,0,0,0,0,0,0,0,0,0,70.888671875,3.549888014793396,27.793951988220215,11.336061120033264,nocache_bf16,large_h6_n10_s100_wikics_arxiv,90c6fb7029699303f3be39cfbbdd83064a30479ef55c381b7707847af46961e2,585.4634399414062,344.8057909011841,0,375.4536485671997,0,0,0,0
arxiv,val,5,5,arxiv:val:000005:b1fb0d955f08ebcc,0,1470.889328,1470.8602294921875,1071.648671,398.98172,0.0,0.0,0.0,0.0,147.55875396728516,156.20205116271973,0,0,0,0,0,0,0,0,0,0,96.35494422912598,4.902272045612335,32.56441593170166,13.737121760845184,nocache_bf16,large_h6_n10_s100_wikics_arxiv,b1fb0d955f08ebcc1854a82d690b457a8b352e7b76fe61f26baecc15aca241c2,674.1427001953125,398.0410861968994,0,432.3036651611328,0,0,0,0
arxiv,val,6,6,arxiv:val:000006:df18bd588fa33fe2,0,1459.223187,1459.19287109375,1147.598099,311.356736,0.0,0.0,0.0,0.0,169.88988876342773,165.61731147766113,0,0,0,0,0,0,0,0,0,0,113.50191879272461,5.843551933765411,35.386624336242676,15.157793700695038,nocache_bf16,large_h6_n10_s100_wikics_arxiv,df18bd588fa33fe2de8fe20a19987197c455f73623e4b9fecb2e949daa89b43c,711.0332641601562,419.7100467681885,0,456.9405288696289,0,0,0,0
arxiv,val,7,7,arxiv:val:000007:5d8bef236ece6d70,0,1376.132707,1376.1033935546875,1032.637278,343.104284,0.0,0.0,0.0,0.0,169.3152961730957,142.88143920898438,0,0,0,0,0,0,0,0,0,0,119.01971244812012,6.318400144577026,30.465248584747314,13.511934995651245,nocache_bf16,large_h6_n10_s100_wikics_arxiv,5d8bef236ece6d70ca2faa9c61718eeb618fd2f06ab8ea1c9a211c1ffba39d87,627.8392944335938,367.2143678665161,0,403.506365776062,0,0,0,0
arxiv,val,8,8,arxiv:val:000008:50c056e8e13586b5,0,1333.001382,1332.9722900390625,1023.574469,309.109535,0.0,0.0,0.0,0.0,161.20959854125977,144.5486717224121,0,0,0,0,0,0,0,0,0,0,112.03046226501465,5.841120004653931,29.901952266693115,13.436064004898071,nocache_bf16,large_h6_n10_s100_wikics_arxiv,50c056e8e13586b5abb1d2ff6e8a110fa32a37fc5f195ac87dde107ad2b022c3,628.8563232421875,372.469762802124,0,400.9352321624756,0,0,0,0
arxiv,val,9,9,arxiv:val:000009:18155f7c05fbf94e,0,1540.336918,1540.3077392578125,1198.290893,341.768317,0.0,0.0,0.0,0.0,183.67721557617188,171.55853080749512,0,0,0,0,0,0,0,0,0,0,124.35897827148438,6.47654402256012,36.67865610122681,16.163037180900574,nocache_bf16,large_h6_n10_s100_wikics_arxiv,18155f7c05fbf94e33b3f603b69cecfa80e7cedb50fe2baa74f0d28baa4b0f2b,739.44775390625,436.00143909454346,0,475.00484561920166,0,0,0,0
arxiv,val,10,10,arxiv:val:000010:734b087b8f518269,0,1339.872207,1339.83984375,919.798409,419.820344,0.0,0.0,0.0,0.0,111.15017509460449,135.54460906982422,0,0,0,0,0,0,0,0,0,0,68.93158340454102,3.475872039794922,27.59216022491455,11.150559425354004,nocache_bf16,large_h6_n10_s100_wikics_arxiv,734b087b8f5182690f6917df19e1b75fcc1ab683af3f29e5ab7c61b67b706a93,588.4178466796875,346.44451236724854,0,377.5179433822632,0,0,0,0
arxiv,val,11,11,arxiv:val:000011:218fb05804b34902,0,1338.21037,1338.181884765625,1028.172523,309.75282,0.0,0.0,0.0,0.0,150.48291206359863,146.65939331054688,0,0,0,0,0,0,0,0,0,0,100.607421875,5.315328001976013,31.274400234222412,13.285761952400208,nocache_bf16,large_h6_n10_s100_wikics_arxiv,218fb05804b34902580b9c384ae4f6815b6ac7a814598f271d8ec7c8cc9d1e97,632.9574584960938,372.56783962249756,0,407.04901218414307,0,0,0,0
