task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
wikics,val,0,0,wikics:val:000000:fef527b25a18161e,0,1507.705142,1507.6455078125,1364.194971,143.038602,0.0,0.0,0.0,0.0,192.14796829223633,142.43939399719238,0,0,0,0,0,0,0,0,0,0,133.06924629211426,6.4470720291137695,39.31843185424805,13.313218116760254,nocache_bf16,large_h6_n10_s100_wikics_arxiv,fef527b25a18161e02256c9a22a5fcb64ea189b88fbf1c593a16f7cef2386a5f,709.72998046875,365.05971240997314,0,487.10966205596924,0,0,0,0
wikics,val,1,1,wikics:val:000001:800111c04191b913,0,1377.143167,1377.1082763671875,1269.124497,107.628818,0.0,0.0,0.0,0.0,203.59804916381836,149.69421005249023,0,0,0,0,0,0,0,0,0,0,148.64902114868164,7.853888154029846,31.75932741165161,15.335812449455261,nocache_bf16,large_h6_n10_s100_wikics_arxiv,800111c04191b91313016b0068c7e73134e69c8f1fbc1fa3f47adef8e93827f2,649.064697265625,382.7178249359131,0,416.04108238220215,0,0,0,0
wikics,val,2,2,wikics:val:000002:55b16141b752157a,0,1469.022217,1468.9884033203125,1362.876321,105.823363,0.0,0.0,0.0,0.0,237.6590690612793,162.4810562133789,0,0,0,0,0,0,0,0,0,0,176.06940841674805,9.471487879753113,35.29040050506592,16.82777225971222,nocache_bf16,large_h6_n10_s100_wikics_arxiv,55b16141b752157aa1fbd4558cf493bf5089fa23bda74c0284125c7c88e21247,713.80517578125,421.0654716491699,0,455.220760345459,0,0,0,0
wikics,val,3,3,wikics:val:000003:eb55f467ab494142,0,1264.332724,1264.3001708984375,1135.782403,128.194965,0.0,0.0,0.0,0.0,149.5793914794922,139.63948822021484,0,0,0,0,0,0,0,0,0,0,102.29952239990234,5.404767990112305,29.24076747894287,12.634333610534668,nocache_bf16,large_h6_n10_s100_wikics_arxiv,eb55f467ab49414223cbb42727548425fb72d6d25ba1e2ef78c9b8b316f07388,605.2744140625,358.2902717590332,0,386.62363052368164,0,0,0,0
wikics,val,4,4,wikics:val:000004:94369875875c7eda,0,1419.968434,1419.93359375,1312.40696,107.054813,0.0,0.0,0.0,0.0,170.15500831604004,151.96713638305664,0,0,0,0,0,0,0,0,0,0,117.94429016113281,6.251008033752441,31.75375986099243,14.205950260162354,nocache_bf16,large_h6_n10_s100_wikics_arxiv,94369875875c7eda426ac2e378c77a4b45c69b105d096621273459492e79a002,662.3639526367188,389.59615898132324,0,424.73493003845215,0,0,0,0
wikics,val,5,5,wikics:val:000005:2ea19046bdd6fc0b,0,1488.380986,1488.346435546875,1381.928924,106.042402,0.0,0.0,0.0,0.0,258.29238510131836,166.0703353881836,0,0,0,0,0,0,0,0,0,0,195.45756721496582,10.401536107063293,34.843552112579346,17.5897296667099,nocache_bf16,large_h6_n10_s100_wikics_arxiv,2ea19046bdd6fc0b113221315bcbf4019385f97ac493ef3f6da0ff2ddbc69c2a,731.5282592773438,432.0032329559326,0,465.5953617095947,0,0,0,0
wikics,val,6,6,wikics:val:000006:deb97ed4b3c8ddd7,0,193.092141,193.0662384033203,83.9317,108.918841,0.0,0.0,0.0,0.0,6.918879985809326,12.704576015472412,0,0,0,0,0,0,0,0,0,0,3.092351973056793,0.1698879972100258,2.1811839640140533,1.4754560515284538,nocache_bf16,large_h6_n10_s100_wikics_arxiv,deb97ed4b3c8ddd7bdb39f4af5fcaad656c9c608bfc05ecb40b7af499c9ba112,52.71644973754883,32.992639899253845,0,32.428385853767395,0,0,0,0
wikics,val,7,7,wikics:val:000007:d7f4428cc84938c0,0,1369.11687,1369.0831298828125,1258.081796,110.641597,0.0,0.0,0.0,0.0,201.22816276550293,150.18208122253418,0,0,0,0,0,0,0,0,0,0,146.5846118927002,7.742303967475891,31.60271978378296,15.298527121543884,nocache_bf16,large_h6_n10_s100_wikics_arxiv,d7f4428cc84938c0ff422730accf1af7811fdbfe47c2a8963dc760c9d780173f,650.5855712890625,382.4343681335449,0,418.33328437805176,0,0,0,0
wikics,val,8,8,wikics:val:000008:a2de623bf3821acb,0,1498.297628,1498.2625732421875,1371.154715,126.674499,0.0,0.0,0.0,0.0,241.7829132080078,160.44451332092285,0,0,0,0,0,0,0,0,0,0,180.9652156829834,9.716991901397705,34.2289924621582,16.871713161468506,nocache_bf16,large_h6_n10_s100_wikics_arxiv,a2de623bf3821acb00081deda324d566d32c497bd1f73e5fe2b363af6e34451e,705.5462646484375,416.47392177581787,0,449.5168561935425,0,0,0,0
wikics,val,9,9,wikics:val:000009:5ddc4ad1ca6bddb9,0,1421.351845,1421.318115234375,1298.02855,122.806381,0.0,0.0,0.0,0.0,191.11331367492676,155.0398712158203,0,0,0,0,0,0,0,0,0,0,136.49772834777832,7.042271971702576,32.5730242729187,15.00028908252716,nocache_bf16,large_h6_n10_s100_wikics_arxiv,5ddc4ad1ca6bddb9f2fbe2619a4cc5bfc948088c83072c92fb9968043dfe40b7,669.6700439453125,394.9542074203491,0,429.7557077407837,0,0,0,0
wikics,val,10,10,wikics:val:000010:a657f4dc57cb7b3b,0,187.322212,187.29635620117188,83.155693,103.910006,0.0,0.0,0.0,0.0,6.312575936317444,12.664479970932007,0,0,0,0,0,0,0,0,0,0,2.6529280245304108,0.13382400013506413,2.106367975473404,1.419455936178565,nocache_bf16,large_h6_n10_s100_wikics_arxiv,a657f4dc57cb7b3bcdd5ce3c72500c507c0f17ae67e675802318c7fef9afe2d3,52.553375244140625,32.94860804080963,0,32.269247174263,0,0,0,0
wikics,val,11,11,wikics:val:000011:dfa124f13dbb8595,0,1575.275211,1575.2386474609375,1452.838681,122.030794,0.0,0.0,0.0,0.0,309.18457412719727,152.22879791259766,0,0,0,0,0,0,0,0,0,0,246.4691505432129,12.839263916015625,31.58726406097412,18.28889560699463,nocache_bf16,large_h6_n10_s100_wikics_arxiv,dfa124f13dbb859594d45abc92fc99eb41ed65a49c8cb209db0ee462a00191e7,670.7979125976562,396.34486198425293,0,426.681848526001,0,0,0,0
wikics,val,12,12,wikics:val:000012:b25c6bff127a88c6,0,1558.664685,1558.6287841796875,1448.094164,110.281892,0.0,0.0,0.0,0.0,314.8252182006836,157.40921783447266,0,0,0,0,0,0,0,0,0,0,249.90851211547852,13.156383991241455,32.66179180145264,19.098530292510986,nocache_bf16,large_h6_n10_s100_wikics_arxiv,b25c6bff127a88c663a84dd45840dc6a75f4ae919fa79751a93982ca913e58f8,697.7396850585938,411.6475524902344,0,443.50135040283203,0,0,0,0
wikics,val,13,13,wikics:val:000013:f7ec35bb559bff78,0,1362.87202,1362.8367919921875,1253.123454,108.72141,0.0,0.0,0.0,0.0,200.82067108154297,145.7658576965332,0,0,0,0,0,0,0,0,0,0,147.56246185302734,7.868736028671265,30.441439628601074,14.948033571243286,nocache_bf16,large_h6_n10_s100_wikics_arxiv,f7ec35bb559bff78b63dfdea8a3808323d3557dd6b3c1c55ebd48800dabbb38e,638.96142578125,375.2983350753784,0,409.4289484024048,0,0,0,0
wikics,val,14,14,wikics:val:000014:cd0465d485a7b221,0,1408.854593,1408.8192138671875,1302.000977,106.463285,0.0,0.0,0.0,0.0,204.8709716796875,149.51104164123535,0,0,0,0,0,0,0,0,0,0,149.63107109069824,7.987168192863464,31.95635175704956,15.296380639076233,nocache_bf16,large_h6_n10_s100_wikics_arxiv,cd0465d485a7b2212f8c13a4132eb2ed270289c0ec06183ceead64db97a598de,655.2074584960938,385.8808307647705,0,418.8376693725586,0,0,0,0
wikics,val,15,15,wikics:val:000015:760ce76542a910c8,0,1351.002685,1350.95947265625,1222.919432,127.683179,0.0,0.0,0.0,0.0,191.9507179260254,153.04198455810547,0,0,0,0,0,0,0,0,0,0,137.73964500427246,7.15062415599823,32.11590385437012,14.944544911384583,nocache_bf16,large_h6_n10_s100_wikics_arxiv,760ce76542a910c82715bdb1556e1b99c877f5e3ff11acfe5cdb9dec223f2bec,662.9261474609375,390.0652484893799,0,425.9028835296631,0,0,0,0
wikics,val,16,16,wikics:val:000016:ecc418214a33ddfc,0,1616.878455,1616.84228515625,1489.956707,126.473981,0.0,0.0,0.0,0.0,305.65459060668945,162.23772811889648,0,0,0,0,0,0,0,0,0,0,239.8840675354004,12.5518079996109,34.169087409973145,19.049627661705017,nocache_bf16,large_h6_n10_s100_wikics_arxiv,ecc418214a33ddfc30aad81571b5ed75b95998d50ad30efd13d1a0853a4c7a97,720.5657958984375,425.1125764846802,0,457.6909475326538,0,0,0,0
wikics,val,17,17,wikics:val:000017:30966d3fabbbe966,0,1579.265198,1579.2286376953125,1468.19113,110.519718,0.0,0.0,0.0,0.0,254.84505462646484,162.22876739501953,0,0,0,0,0,0,0,0,0,0,192.921537399292,10.164768099784851,34.78169584274292,16.97705328464508,nocache_bf16,large_h6_n10_s100_wikics_arxiv,30966d3fabbbe96640c8cbdf2e720544bf71af0cd8c950c087a1a2db14bd743b,720.6642456054688,425.3851509094238,0,457.50786209106445,0,0,0,0
wikics,val,18,18,wikics:val:000018:40b87fe5b3865c25,0,1481.260327,1481.2252197265625,1354.035252,126.78117,0.0,0.0,0.0,0.0,231.41375350952148,158.2370891571045,0,0,0,0,0,0,0,0,0,0,172.2816333770752,9.183552026748657,33.661792278289795,16.286775827407837,nocache_bf16,large_h6_n10_s100_wikics_arxiv,40b87fe5b3865c25b0fea0abae1f6a31a4b30ceff215077141910a5c4cdb9017,690.3991088867188,406.96099185943604,0,441.6752061843872,0,0,0,0
wikics,val,19,19,wikics:val:000019:c948629294047854,0,1411.545902,1411.51123046875,1300.05845,111.131861,0.0,0.0,0.0,0.0,198.95378875732422,151.77907371520996,0,0,0,0,0,0,0,0,0,0,144.6239356994629,7.503360033035278,31.761600017547607,15.064893007278442,nocache_bf16,large_h6_n10_s100_wikics_arxiv,c9486292940478548025bcd39f69bde038c73dc44280ada5e32b7ae0cd0c59c4,657.8148193359375,386.72822093963623,0,422.86567211151123,0,0,0,0
wikics,val,20,20,wikics:val:000020:e9a52cacfc1321d3,0,1216.638072,1216.6048583984375,1070.866371,145.478636,0.0,0.0,0.0,0.0,148.96745681762695,134.32294273376465,0,0,0,0,0,0,0,0,0,0,103.58899307250977,5.425056040287018,27.565792083740234,12.387615621089935,nocache_bf16,large_h6_n10_s100_wikics_arxiv,e9a52cacfc1321d3be6f10a0439a054242d79fd11875bc865a4ea4dadbd64e1e,585.4968872070312,345.2455053329468,0,374.5743246078491,0,0,0,0
wikics,val,21,21,wikics:val:000021:f6fad06d0182fdac,0,1356.993993,1356.95947265625,1247.475735,109.185003,0.0,0.0,0.0,0.0,166.15731239318848,146.65075302124023,0,0,0,0,0,0,0,0,0,0,115.4728012084961,6.154816091060638,30.887231826782227,13.642463266849518,nocache_bf16,large_h6_n10_s100_wikics_arxiv,f6fad06d0182fdac16ade7c80ae6ba48ecadf3df08778ef7a76990d17d09763f,638.063232421875,374.8111333847046,0,409.90285205841064,0,0,0,0
wikics,val,22,22,wikics:val:000022:d785569b8bb4a8d7,0,1560.850261,1560.8145751953125,1449.985917,110.501494,0.0,0.0,0.0,0.0,258.03923416137695,163.716064453125,0,0,0,0,0,0,0,0,0,0,195.33686065673828,10.515552043914795,34.59574365615845,17.59107780456543,nocache_bf16,large_h6_n10_s100_wikics_arxiv,d785569b8bb4a8d717e83bb8c9fff3658fc9cccc846cdee9551cd8d56685150b,719.78857421875,425.43347358703613,0,458.07116508483887,0,0,0,0
wikics,val,23,23,wikics:val:000023:30e8db22a669492e,0,1492.026752,1491.9910888671875,1365.709385,125.953146,0.0,0.0,0.0,0.0,243.1509780883789,160.8679370880127,0,0,0,0,0,0,0,0,0,0,182.12342262268066,9.677855968475342,34.59276819229126,16.75693130493164,nocache_bf16,large_h6_n10_s100_wikics_arxiv,30e8db22a669492e9181fdd4dfa056fe4fed95a4be6d84373feae62fc8032f91,708.2482299804688,418.4083557128906,0,450.7078113555908,0,0,0,0
wikics,val,24,24,wikics:val:000024:9c2eb6f46cefd34c,0,1655.975966,1655.93896484375,1550.410818,105.210027,0.0,0.0,0.0,0.0,406.72105407714844,161.43296241760254,0,0,0,0,0,0,0,0,0,0,334.3119087219238,17.57094383239746,33.5794563293457,21.258745193481445,nocache_bf16,large_h6_n10_s100_wikics_arxiv,9c2eb6f46cefd34c6f201303a1ad616670a71668823f3b38a391df90dfd6daff,716.2826538085938,425.00825595855713,0,452.70736026763916,0,0,0,0
wikics,val,25,25,wikics:val:000025:c748180b049621a4,0,1553.365233,1553.328125,1424.085157,128.856443,0.0,0.0,0.0,0.0,310.85004806518555,161.2658233642578,0,0,0,0,0,0,0,0,0,0,245.6623649597168,12.550336122512817,33.590943813323975,19.046403169631958,nocache_bf16,large_h6_n10_s100_wikics_arxiv,c748180b049621a4c7d3ed44f5609aeec104f7702d160cca2428f5a72b9841e5,708.2105102539062,418.72015953063965,0,450.7561740875244,0,0,0,0
wikics,val,26,26,wikics:val:000026:f66b2c37f14c407f,0,1478.213619,1478.177001953125,1371.730691,106.09642,0.0,0.0,0.0,0.0,245.01017379760742,164.42934226989746,0,0,0,0,0,0,0,0,0,0,183.31027030944824,9.694815993309021,34.84160041809082,17.16348707675934,nocache_bf16,large_h6_n10_s100_wikics_arxiv,f66b2c37f14c407f4410ff66afbbac91c836532c19438c2e5923e57377491908,719.1453247070312,424.4605436325073,0,459.1141233444214,0,0,0,0
wikics,val,27,27,wikics:val:000027:19b7a4b1069f0703,0,1546.43567,1546.3983154296875,1435.306351,110.787967,0.0,0.0,0.0,0.0,249.56972885131836,161.07151985168457,0,0,0,0,0,0,0,0,0,0,187.81436920166016,10.128928065299988,34.577696800231934,17.04873478412628,nocache_bf16,large_h6_n10_s100_wikics_arxiv,19b7a4b1069f0703e42e1662d1626fa830f58a56b61b61ac44a24e6ebe2d28c4,710.4974975585938,419.65551948547363,0,451.9134979248047,0,0,0,0
wikics,val,28,28,wikics:val:000028:6dcccc0dadc0f236,0,1502.329187,1502.29296875,1391.241165,110.72739,0.0,0.0,0.0,0.0,219.01769638061523,167.85100746154785,0,0,0,0,0,0,0,0,0,0,158.4307804107666,8.319904088973999,35.76672077178955,16.500291109085083,nocache_bf16,large_h6_n10_s100_wikics_arxiv,6dcccc0dadc0f2368546ab77570060956e54caca780c3fae3797dd17561f56c2,736.7738647460938,434.742787361145,0,469.8820848464966,0,0,0,0
wikics,val,29,29,wikics:val:000029:b57c0c6c616584fa,0,1316.510317,1316.4752197265625,1207.701275,108.451386,0.0,0.0,0.0,0.0,158.17088317871094,146.87433624267578,0,0,0,0,0,0,0,0,0,0,108.2758731842041,5.647807955741882,30.74451208114624,13.502689957618713,nocache_bf16,large_h6_n10_s100_wikics_arxiv,b57c0c6c616584fa3175a1053d4a5943c17cc66406ff67582d00320f05ece863,643.98779296875,377.4618215560913,0,413.4003076553345,0,0,0,0
wikics,val,30,30,wikics:val:000030:46cf5a7590979b07,0,1468.893946,1468.8575439453125,1358.121747,110.451594,0.0,0.0,0.0,0.0,265.0371551513672,159.66201210021973,0,0,0,0,0,0,0,0,0,0,202.72613906860352,10.796319961547852,33.811551570892334,17.703144550323486,nocache_bf16,large_h6_n10_s100_wikics_arxiv,46cf5a7590979b072621f92b0e45b838461f0910879853929265a05ebd40704a,704.0639038085938,415.17020320892334,0,448.55571269989014,0,0,0,0
wikics,val,31,31,wikics:val:000031:2addc42d7b620b3e,0,1478.151698,1478.115478515625,1370.442617,107.3985,0.0,0.0,0.0,0.0,208.57500839233398,165.66985511779785,0,0,0,0,0,0,0,0,0,0,148.7783660888672,7.7742719650268555,35.83436727523804,16.188003063201904,nocache_bf16,large_h6_n10_s100_wikics_arxiv,2addc42d7b620b3eafd7d208a11026fbe79e6857e28c706cb3b0e8c837b03eca,719.7667846679688,424.47299098968506,0,460.96364879608154,0,0,0,0
wikics,val,32,32,wikics:val:000032:57bb329b74f81197,0,1469.881501,1469.844482421875,1359.215429,110.352809,0.0,0.0,0.0,0.0,231.01526260375977,161.26188850402832,0,0,0,0,0,0,0,0,0,0,171.21599960327148,8.933024048805237,34.30943965911865,16.556799292564392,nocache_bf16,large_h6_n10_s100_wikics_arxiv,57bb329b74f81197f5f742a2fa3620e0c9193252afe609c679c1e02045e2ac49,703.48828125,414.4066867828369,0,450.3434829711914,0,0,0,0
