task,profile_mode,split,query_uid,trace_order,query_index,workload_profile,graph_signature,rep_count,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,quant_kv_attention_calls,int_gemm_call_count,cache_hits,cache_misses,cache_skips,fallback_count,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,prefix_transformer_gpu_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms
arxiv,cache_bf16,val,arxiv:val:000000:2ca62d00a890aa84,0,0,large_h6_n10_s100_wikics_arxiv,2ca62d00a890aa8464a6da3728825202198bcc513fe666faadd8aa998acdb9f2,3,0,0,0,0,0,64,0,1,0,1562.033583,1561.9708251953125,1235.551579,325.991974,188.86416219174862,295.0298525393009,8.162620477378368,614.5353149622679,147.46604919433594,163.23651313781738,437.4832000732422,115.96137586236,0.0,468.9878734052181,0.0,0.0,0.0,0.0,0.0,113.4128646850586,5.216672003269196,39.47705554962158,4.183072924613953
arxiv,cache_bf16,val,arxiv:val:000001:60580fb403549285,1,1,large_h6_n10_s100_wikics_arxiv,60580fb403549285c13a71ed0dd66a154ba7ca5299783abae7bc3d0ced297729,3,0,0,0,0,0,62,0,1,0,1184.568896,1184.5325927734375,879.741169,302.768762,139.725542627275,27.606165036559105,7.607129402458668,624.5239963755012,19.061023712158203,185.84864044189453,414.77152252197266,109.03248003125191,0.0,324.8593943119049,0.0,0.0,0.0,0.0,0.0,142.43212890625,6.689663887023926,31.7925763130188,4.853983402252197
arxiv,cache_bf16,val,arxiv:val:000002:0f56629b76181b48,2,2,large_h6_n10_s100_wikics_arxiv,0f56629b76181b48667d9cbcd2345c35f2620d7bfa2297baabc2f253e5b2d1f9,3,0,0,0,0,0,55,0,1,0,1090.962684,1090.9266357421875,700.433061,390.245092,115.28911255300045,27.522826567292213,6.828777492046356,482.32347797602415,19.101600646972656,113.50563049316406,367.60240173339844,97.62700799107552,0.0,289.0769943892956,0.0,0.0,0.0,0.0,0.0,78.62191867828369,3.873024046421051,27.962368488311768,3.0438079237937927
arxiv,cache_bf16,val,arxiv:val:000003:f8a271ff72baf265,3,3,large_h6_n10_s100_wikics_arxiv,f8a271ff72baf265126e8db430172f5bed9c9bc1236ed2c483b676d3b3da5b06,3,0,0,0,0,0,59,0,1,0,1115.123864,1115.087890625,758.479648,356.722478,123.00889194011688,27.527514845132828,7.403274066746235,528.7994537502527,19.11180877685547,133.24003219604492,394.22198486328125,104.13135954737663,0.0,309.2024340927601,0.0,0.0,0.0,0.0,0.0,94.7988805770874,4.744320034980774,30.069471836090088,3.6176947355270386
arxiv,cache_bf16,val,arxiv:val:000004:90c6fb7029699303,4,4,large_h6_n10_s100_wikics_arxiv,90c6fb7029699303f3be39cfbbdd83064a30479ef55c381b7707847af46961e2,3,0,0,0,0,0,51,0,1,0,1049.7165,1049.6812744140625,641.407779,408.691327,103.42038702219725,27.433441020548344,6.320565938949585,436.3818019628525,19.094751358032227,93.96723175048828,341.13913345336914,91.44348818063736,0.0,268.790396630764,0.0,0.0,0.0,0.0,0.0,62.631935119628906,3.0025280117988586,25.884640216827393,2.4750073850154877
arxiv,cache_bf16,val,arxiv:val:000005:b1fb0d955f08ebcc,5,5,large_h6_n10_s100_wikics_arxiv,b1fb0d955f08ebcc1854a82d690b457a8b352e7b76fe61f26baecc15aca241c2,3,0,0,0,0,0,59,0,1,0,1139.675405,1139.63916015625,743.806776,395.587318,120.66842336207628,27.731841430068016,7.435298524796963,516.2027897313237,19.08697509765625,120.47123336791992,394.3067932128906,104.06745597720146,0.0,309.31034591794014,0.0,0.0,0.0,0.0,0.0,83.11104106903076,4.085855960845947,30.05750322341919,3.2155210375785828
arxiv,cache_bf16,val,arxiv:val:000006:df18bd588fa33fe2,6,6,large_h6_n10_s100_wikics_arxiv,df18bd588fa33fe2de8fe20a19987197c455f73623e4b9fecb2e949daa89b43c,3,0,0,0,0,0,62,0,1,0,1097.069327,1097.0335693359375,787.603914,309.173105,127.70699616521597,27.67169661819935,7.574041374027729,551.0664330795407,19.089279174804688,135.77148628234863,413.92704010009766,109.05475217103958,0.0,323.972864985466,0.0,0.0,0.0,0.0,0.0,95.53977584838867,4.762751996517181,31.806399822235107,3.6683512330055237
arxiv,cache_bf16,val,arxiv:val:000007:5d8bef236ece6d70,7,7,large_h6_n10_s100_wikics_arxiv,5d8bef236ece6d70ca2faa9c61718eeb618fd2f06ab8ea1c9a211c1ffba39d87,3,0,0,0,0,0,54,0,1,0,1066.281737,1066.24609375,726.230847,339.739341,111.88310664147139,27.93770469725132,6.608752533793449,505.4714819416404,19.228927612304688,139.19149017333984,364.9723205566406,96.37916815280914,0.0,288.19980823993683,0.0,0.0,0.0,0.0,0.0,102.51906967163086,5.237920045852661,27.55843162536621,3.851616621017456
arxiv,cache_bf16,val,arxiv:val:000008:50c056e8e13586b5,8,8,large_h6_n10_s100_wikics_arxiv,50c056e8e13586b5abb1d2ff6e8a110fa32a37fc5f195ac87dde107ad2b022c3,3,0,0,0,0,0,55,0,1,0,1032.144803,1032.109130859375,724.378388,306.819,109.14203338325024,27.606611140072346,6.723534315824509,515.4460100457072,19.044416427612305,135.92617797851562,378.06336212158203,97.86358392238617,0.0,299.525282651186,0.0,0.0,0.0,0.0,0.0,99.20486450195312,5.011231958866119,27.96489667892456,3.74518483877182
arxiv,cache_bf16,val,arxiv:val:000009:18155f7c05fbf94e,9,9,large_h6_n10_s100_wikics_arxiv,18155f7c05fbf94e33b3f603b69cecfa80e7cedb50fe2baa74f0d28baa4b0f2b,3,0,0,0,0,0,64,0,1,0,1126.07066,1126.0340576171875,820.590673,305.397892,137.52860203385353,27.698124758899212,8.005679585039616,574.2868948727846,19.10256004333496,145.45097541809082,427.34041595458984,112.21308815479279,0.0,334.193568110466,0.0,0.0,0.0,0.0,0.0,103.46384048461914,5.232703924179077,32.79823923110962,3.931330919265747
