task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
cora_node,val,0,0,cora_node:val:000000:32040cc0b95f2b8d,0,2773.695325,2773.66552734375,2648.317805,124.800655,962.6032402738929,221.88364807516336,17.361530102789402,1290.3203861787915,357.94128036499023,928.5845184326172,139,0,1,0,0,0,0,0,0,0,261.3535346984863,12.89299201965332,74.04240036010742,9.652353286743164,cache_bf16,large_h6_n32_s100,32040cc0b95f2b8de3dc080c851b01e14c370f0301d8e0ab7ccb17c80db2a4e5,123.71878051757812,237.80995240807533,0,814.49334654212,0,0,0,0
cora_node,val,1,1,cora_node:val:000001:77689caf8a6f5541,0,1613.174702,1613.16162109375,1508.050747,104.793648,500.86679961532354,28.225259855389595,12.60585617274046,877.8187418356538,213.1494369506836,662.1720962524414,101,0,1,0,0,0,0,0,0,0,147.03487968444824,7.226495981216431,53.31760025024414,5.57046103477478,cache_bf16,large_h6_n32_s100,77689caf8a6f5541217b344d4c07901caa669836faff207418844ace493691ac,19.267263412475586,171.98473584651947,0,509.4546238183975,0,0,0,0
cora_node,val,2,2,cora_node:val:000002:172c61f8080c8dca,0,2349.683491,2349.672119140625,2256.856147,92.393635,958.137365989387,28.718676418066025,16.09296165406704,1138.137187808752,282.006046295166,852.9734802246094,130,0,1,0,0,0,0,0,0,0,197.7366065979004,9.804768204689026,67.07548809051514,7.389183402061462,cache_bf16,large_h6_n32_s100,172c61f8080c8dcaf9fa4f0fdf16968c9f5d12a025177168e2ea2a1fb0c304c9,19.272287368774414,218.62940815091133,0,653.6163594424725,0,0,0,0
cora_node,val,3,3,cora_node:val:000003:5d7b6f9e6623451c,0,1548.942023,1548.928466796875,1461.149556,87.367156,534.8769193515182,28.403671458363533,11.460559442639351,798.973117955029,191.6662425994873,605.0087966918945,92,0,1,0,0,0,0,0,0,0,132.95708656311035,6.526368021965027,47.10918426513672,5.0736037492752075,cache_bf16,large_h6_n32_s100,5d7b6f9e6623451ca26e5d6bc121f0ed1d0ed495702b5bfbd69f20c1fcc790fc,19.27801513671875,157.6636478304863,0,466.623163998127,0,0,0,0
cora_node,val,4,4,cora_node:val:000004:1b7bd54e4a73e24c,0,2049.985775,2049.977294921875,1975.550701,74.037208,690.5144667252898,28.11754122376442,15.079743228852749,1123.737403191626,309.91161346435547,810.8241271972656,124,0,1,0,0,0,0,0,0,0,225.10275268554688,11.61628782749176,64.96972751617432,8.222845435142517,cache_bf16,large_h6_n32_s100,1b7bd54e4a73e24cb85821085fdcea9e8ae461a9e53686fb3b7b3e359c5bb41e,19.17625617980957,209.3616317510605,0,620.6387516260147,0,0,0,0
cora_node,val,5,5,cora_node:val:000005:4dff67568d9914d4,0,1682.542308,1682.5308837890625,1594.805589,87.405122,546.7832405120134,28.3058974891901,12.573651038110256,912.9050076007843,234.47968292236328,675.8910980224609,103,0,1,0,0,0,0,0,0,0,166.0351047515869,8.332607984542847,53.902687072753906,6.209283113479614,cache_bf16,large_h6_n32_s100,4dff67568d9914d4af8056819ec5addb902b85f28f46fdc1003bce4d07cbc91e,19.29305648803711,175.2998721897602,0,519.8842823207378,0,0,0,0
cora_node,val,6,6,cora_node:val:000006:6814b7788436b646,0,2068.564874,2068.5576171875,1950.033216,118.080356,657.3509788140655,28.274351730942726,15.717807225883007,1137.1317114681005,302.96496200561523,831.0920257568359,127,0,1,0,0,0,0,0,0,0,217.75142288208008,11.172320008277893,66.0636157989502,7.977603316307068,cache_bf16,large_h6_n32_s100,6814b7788436b6467a2b4e5ae71ad54646c294fdd7a9fe47708017e0438fcdcc,19.269695281982422,214.19071996212006,0,636.1710010766983,0,0,0,0
cora_node,val,7,7,cora_node:val:000007:456ece498f97e7b5,0,1948.705867,1948.6962890625,1830.157656,118.141642,647.2830213606358,28.232946060597897,14.47878498584032,1032.298443838954,261.3326721191406,768.1020584106445,117,0,1,0,0,0,0,0,0,0,183.7577610015869,9.243264079093933,61.449567794799805,6.882079243659973,cache_bf16,large_h6_n32_s100,456ece498f97e7b5608d85175de2f1d9d8cd45221c84d55dc47d73f497b6a662,19.24928092956543,198.2056321799755,0,589.1457071602345,0,0,0,0
cora_node,val,8,8,cora_node:val:000008:f573b11ddb68486b,0,1894.552601,1894.5423583984375,1822.267404,71.947944,657.1864113211632,28.43624260276556,14.17909748852253,1026.193237863481,261.78562927246094,761.5548553466797,117,0,1,0,0,0,0,0,0,0,184.48233604431152,9.201728105545044,61.21267223358154,6.888892889022827,cache_bf16,large_h6_n32_s100,f573b11ddb68486b3d9fd810b732898df800112e2af4d43f5d3981396e564b76,19.27190399169922,197.70665568113327,0,583.1201036572456,0,0,0,0
cora_node,val,9,9,cora_node:val:000009:09ed79371001663a,0,1942.634074,1942.6248779296875,1868.365117,73.868173,617.6459062844515,28.1266700476408,15.520158223807812,1101.517777889967,280.19830322265625,818.2814178466797,125,0,1,0,0,0,0,0,0,0,197.3297576904297,10.045472025871277,65.49555397033691,7.327519536018372,cache_bf16,large_h6_n32_s100,09ed79371001663a8b412c7f8dd857a965fdd1864d4e1c4e771cc35619d16d6f,19.239328384399414,210.73529595136642,0,626.7854502797127,0,0,0,0
