task,split,trace_order,query_index,query_uid,rep,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,cache_hits,cache_misses,cache_skips,quant_kv_attention_calls,fallback_count,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms,profile_mode,workload_profile,graph_signature,prefix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,int_gemm_call_count
cora_node,val,0,0,cora_node:val:000000:32040cc0b95f2b8d,0,2874.117248,2874.0458984375,2734.459887,139.063008,0.0,0.0,0.0,0.0,416.35404205322266,349.58950424194336,0,0,0,0,0,0,0,0,0,0,294.1913948059082,14.148575782775879,76.25654411315918,31.757527351379395,nocache_bf16,large_h6_n32_s100,32040cc0b95f2b8de3dc080c851b01e14c370f0301d8e0ab7ccb17c80db2a4e5,1700.1563720703125,933.3631381988525,0,1116.3827381134033,0,0,0,0
cora_node,val,1,1,cora_node:val:000001:77689caf8a6f5541,0,1920.745089,1920.698486328125,1810.31332,109.85507,0.0,0.0,0.0,0.0,252.06748580932617,258.43603134155273,0,0,0,0,0,0,0,0,0,0,166.76182556152344,8.31171190738678,54.88451290130615,22.109435439109802,nocache_bf16,large_h6_n32_s100,77689caf8a6f5541217b344d4c07901caa669836faff207418844ace493691ac,1170.15283203125,680.1279315948486,0,748.4609317779541,0,0,0,0
cora_node,val,2,2,cora_node:val:000002:172c61f8080c8dca,0,2437.374149,2437.323974609375,2343.564044,93.311074,0.0,0.0,0.0,0.0,341.0356140136719,329.4251823425293,0,0,0,0,0,0,0,0,0,0,232.62393188476562,11.477856040000916,68.87558364868164,28.058242440223694,nocache_bf16,large_h6_n32_s100,172c61f8080c8dcaf9fa4f0fdf16968c9f5d12a025177168e2ea2a1fb0c304c9,1505.879638671875,874.6152305603027,0,960.6895904541016,0,0,0,0
cora_node,val,3,3,cora_node:val:000003:5d7b6f9e6623451c,0,1751.57032,1751.52783203125,1660.053186,91.144847,0.0,0.0,0.0,0.0,233.2972183227539,236.73577499389648,0,0,0,0,0,0,0,0,0,0,155.1712646484375,7.6949121952056885,50.14339256286621,20.287648916244507,nocache_bf16,large_h6_n32_s100,5d7b6f9e6623451ca26e5d6bc121f0ed1d0ed495702b5bfbd69f20c1fcc790fc,1071.97265625,626.8268146514893,0,681.8816165924072,0,0,0,0
cora_node,val,4,4,cora_node:val:000004:1b7bd54e4a73e24c,0,2354.645488,2354.59521484375,2276.972045,77.221977,0.0,0.0,0.0,0.0,362.0832977294922,313.5634574890137,0,0,0,0,0,0,0,0,0,0,255.644287109375,12.540287971496582,65.53116703033447,28.367555618286133,nocache_bf16,large_h6_n32_s100,1b7bd54e4a73e24cb85821085fdcea9e8ae461a9e53686fb3b7b3e359c5bb41e,1436.46826171875,833.3623027801514,0,916.6694164276123,0,0,0,0
cora_node,val,5,5,cora_node:val:000005:4dff67568d9914d4,0,1967.185179,1967.138916015625,1875.82113,90.973983,0.0,0.0,0.0,0.0,283.0508232116699,264.0275192260742,0,0,0,0,0,0,0,0,0,0,194.1703643798828,9.740351915359497,55.927711486816406,23.212395429611206,nocache_bf16,large_h6_n32_s100,4dff67568d9914d4af8056819ec5addb902b85f28f46fdc1003bce4d07cbc91e,1197.413330078125,696.5624008178711,0,764.8784484863281,0,0,0,0
cora_node,val,6,6,cora_node:val:000006:6814b7788436b646,0,2430.030694,2429.9794921875,2307.391817,122.209894,0.0,0.0,0.0,0.0,357.4655342102051,321.6603202819824,0,0,0,0,0,0,0,0,0,0,249.4274559020996,12.19532823562622,67.58486270904541,28.257887363433838,nocache_bf16,large_h6_n32_s100,6814b7788436b6467a2b4e5ae71ad54646c294fdd7a9fe47708017e0438fcdcc,1469.0980224609375,852.6142711639404,0,938.1440715789795,0,0,0,0
cora_node,val,7,7,cora_node:val:000007:456ece498f97e7b5,0,2243.855682,2243.8056640625,2120.696179,122.692407,0.0,0.0,0.0,0.0,309.04323959350586,299.1258888244629,0,0,0,0,0,0,0,0,0,0,208.5485382080078,10.622528076171875,62.804832458496094,27.067340850830078,nocache_bf16,large_h6_n32_s100,456ece498f97e7b5608d85175de2f1d9d8cd45221c84d55dc47d73f497b6a662,1360.3760986328125,789.4467182159424,0,870.055269241333,0,0,0,0
cora_node,val,8,8,cora_node:val:000008:f573b11ddb68486b,0,2190.262728,2190.208984375,2114.415744,75.397562,0.0,0.0,0.0,0.0,302.20258712768555,299.7940483093262,0,0,0,0,0,0,0,0,0,0,203.6220474243164,10.06710410118103,62.30803203582764,26.205403566360474,nocache_bf16,large_h6_n32_s100,f573b11ddb68486b3d9fd810b732898df800112e2af4d43f5d3981396e564b76,1367.924560546875,794.9521293640137,0,872.7664794921875,0,0,0,0
cora_node,val,9,9,cora_node:val:000009:09ed79371001663a,0,2358.833197,2358.780517578125,2280.973262,77.38764,0.0,0.0,0.0,0.0,337.68384170532227,318.07970809936523,0,0,0,0,0,0,0,0,0,0,230.31414413452148,11.4344322681427,67.7805118560791,28.15475344657898,nocache_bf16,large_h6_n32_s100,09ed79371001663a8b412c7f8dd857a965fdd1864d4e1c4e771cc35619d16d6f,1458.1976318359375,844.0570583343506,0,932.2202816009521,0,0,0,0
