task,profile_mode,split,query_uid,trace_order,query_index,workload_profile,graph_signature,rep_count,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,quant_kv_attention_calls,int_gemm_call_count,cache_hits,cache_misses,cache_skips,fallback_count,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,prefix_transformer_gpu_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms
cora_link,cache_bf16,val,cora_link:val:000000:2b8559f934ffd5af,0,0,large_h6_n32_s100,2b8559f934ffd5af71532c7b206da87da447aa51e1383cb7c327aed52b4ca12b,3,0,0,0,0,0,140,0,1,0,2081.719219,2081.64453125,1990.848044,90.318268,353.81459817290306,217.72639639675617,17.754854634404182,1247.3721010610461,122.88787078857422,306.9624671936035,935.9579162597656,239.36617559194565,0.0,819.211258739233,0.0,0.0,0.0,0.0,0.0,214.6136016845703,10.305343985557556,74.20851230621338,8.086113572120667
cora_link,cache_bf16,val,cora_link:val:000001:011b6065bdfc4d99,1,1,large_h6_n32_s100,011b6065bdfc4d997d47768dc671606054c518c7b876196bd40626bbb696d039,3,0,0,0,0,0,121,0,1,0,1547.725477,1547.68505859375,1478.931524,68.418745,217.6930457353592,27.90635544806719,14.838124625384808,1072.9959243908525,19.32784080505371,270.6053123474121,801.5182952880859,205.01279985904694,0.0,616.0277985930443,0.0,0.0,0.0,0.0,0.0,191.45811080932617,9.653600096702576,62.32854461669922,7.165056824684143
cora_link,cache_bf16,val,cora_link:val:000002:7087803365c344f7,2,2,large_h6_n32_s100,7087803365c344f71c5a4d25ae7ab9d82ccdce35f66b51cb45e827491e8c111f,3,0,0,0,0,0,131,0,1,0,1629.179925,1629.148681640625,1561.834327,67.641973,242.60617699474096,27.8751403093338,16.07462950050831,1144.318732433021,19.36502456665039,279.3546829223633,861.777587890625,221.3823679983616,0.0,659.7654286324978,0.0,0.0,0.0,0.0,0.0,193.99522972106934,9.703359961509705,68.40223979949951,7.282938599586487
cora_link,cache_bf16,val,cora_link:val:000003:54eb24a89dd1709d,3,3,large_h6_n32_s100,54eb24a89dd1709dc1bf27362cd73114c8e1213fd8bcd3ab3cb7537d886a6e38,3,0,0,0,0,0,104,0,1,0,1274.227387,1274.20068359375,1206.75228,67.153068,168.24097093194723,27.649009600281715,12.801555916666985,908.841541968286,19.25551986694336,221.69302368164062,684.5869064331055,177.38652801513672,0.0,526.2172422707081,0.0,0.0,0.0,0.0,0.0,154.4100799560547,7.651328086853027,53.78540897369385,5.849407196044922
cora_link,cache_bf16,val,cora_link:val:000004:7facdc7ac2dda863,4,4,large_h6_n32_s100,7facdc7ac2dda86307197ac9037d5297767ace8cfabe65037533b9ebb49239e5,3,0,0,0,0,0,92,0,1,0,1575.909406,1575.8812255859375,1507.735626,68.23944,564.6462785080075,27.91836205869913,11.37982401996851,801.8989404663444,19.382495880126953,197.73018264770508,602.1927642822266,157.86873587965965,0.0,463.63580361008644,0.0,0.0,0.0,0.0,0.0,138.66067123413086,6.861792087554932,46.92300748825073,5.277317047119141
cora_link,cache_bf16,val,cora_link:val:000005:0b661dd709e9ec4e,5,5,large_h6_n32_s100,0b661dd709e9ec4edfd97695dc426a5fd962e8c1aa98b5a9f16ad223d296b28a,3,0,0,0,0,0,120,0,1,0,1933.229239,1933.18505859375,1865.63308,67.175402,655.3088882938027,28.078947216272354,14.84084315598011,1070.7166697829962,19.406335830688477,276.5094413757324,790.8248291015625,203.3370244204998,0.0,606.8941405117512,0.0,0.0,0.0,0.0,0.0,196.89401626586914,9.97657597064972,62.3405122756958,7.302566409111023
cora_link,cache_bf16,val,cora_link:val:000006:7ba47eddfdef13fd,6,6,large_h6_n32_s100,7ba47eddfdef13fd4febfd6ca7abdd57842f1b9630de8e4af6f2495d40cc319b,3,0,0,0,0,0,134,0,1,0,1669.104775,1669.0780029296875,1601.955134,66.722306,231.86923377215862,27.643634006381035,16.37374237179756,1213.175336830318,19.314655303955078,326.3657913208008,877.8912200927734,226.05388793349266,0.0,671.1519874632359,0.0,0.0,0.0,0.0,0.0,236.15846252441406,12.101824164390564,69.15030288696289,8.743074417114258
cora_link,cache_bf16,val,cora_link:val:000007:34b1ca300d75b85d,7,7,large_h6_n32_s100,34b1ca300d75b85d8274b103f2dbe7b8d72eb74e789c8534272987a6050a37a5,3,0,0,0,0,0,131,0,1,0,1669.514592,1669.488037109375,1601.067368,67.88895,225.04650056362152,27.551653794944286,16.299801878631115,1209.7471244633198,19.327999114990234,304.6088981628418,901.9788818359375,221.58735978603363,0.0,697.9788177013397,0.0,0.0,0.0,0.0,0.0,217.35862350463867,11.234848022460938,68.40956783294678,8.01446008682251
cora_link,cache_bf16,val,cora_link:val:000008:882249f597dda3f5,8,8,large_h6_n32_s100,882249f597dda3f5e2320c6defbacc429761416b937dc27d8b634dc74f46b924,3,0,0,0,0,0,128,0,1,0,1780.06084,1780.0308837890625,1713.117368,67.47866,416.5420327335596,27.79964916408062,15.984995290637016,1149.3290327489376,19.345407485961914,306.2058868408203,840.3912963867188,216.0434238910675,0.0,643.7112326323986,0.0,0.0,0.0,0.0,0.0,220.61286163330078,11.288127899169922,65.93667125701904,8.155614376068115
cora_link,cache_bf16,val,cora_link:val:000009:9a6646f6eee7207c,9,9,large_h6_n32_s100,9a6646f6eee7207c72c36e0851e0f8e3dfb25caa51e443cc88f95b29699068e1,3,0,0,0,0,0,119,0,1,0,1477.685906,1477.658447265625,1409.722092,67.460129,201.18059311062098,27.76199020445347,14.599950984120369,1058.260834775865,19.248863220214844,271.7382392883301,784.1050872802734,201.91760018467903,0.0,601.6266556084156,0.0,0.0,0.0,0.0,0.0,192.07990074157715,9.708672046661377,62.8111686706543,7.181826829910278
cora_link,cache_bf16,val,cora_link:val:000010:a877be82fffc1679,10,10,large_h6_n32_s100,a877be82fffc1679db7a5dd2ad1e6288d99e52e1fc64853008fa8d7cbc01ee5b,3,0,0,0,0,0,105,0,1,0,1295.529117,1295.5032958984375,1228.754802,66.405869,174.17222540825605,27.51061972230673,13.139933347702026,926.0438531637192,19.25574493408203,230.69026947021484,693.0988464355469,178.61628782749176,0.0,533.5040310621262,0.0,0.0,0.0,0.0,0.0,161.3944320678711,8.074944019317627,55.04243183135986,6.1089043617248535
